drug_name,api_name,api_cascade_count,api_cascade_drugs,api_cascade_on_concession,api_cascade_conc_drugs,api_concentration_risk,api_primary_source,api_manufacturer_count,api_india_china_pct,api_india_dependency,api_us_shortage_count,api_us_shortage_active
Memantine 10mg tablets,memantine,4,Memantine 10mg/ml oral solution sugar free|Memantine 20mg tablets|Memantine 20mg tablets|Memantine 10mg/ml oral solution sugar free,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Co-codamol 15mg/500mg tablets,paracetamol,21,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets,3,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets,LOW,Europe,12,30,0,0,0
Tramadol 37.5mg / Paracetamol 325mg tablets,paracetamol,21,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets,3,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets,LOW,Europe,12,30,0,0,0
Aspirin 75mg dispersible tablets,aspirin,4,Aspirin 300mg dispersible tablets|Aspirin 75mg gastro-resistant tablets|Aspirin 300mg dispersible tablets|Aspirin 75mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Aspirin 300mg dispersible tablets,aspirin,4,Aspirin 75mg dispersible tablets|Aspirin 75mg dispersible tablets|Aspirin 75mg gastro-resistant tablets|Aspirin 75mg tablets,2,Aspirin 75mg dispersible tablets|Aspirin 75mg dispersible tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Verapamil 120mg tablets,verapamil,2,Verapamil 40mg tablets|Verapamil 80mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Glimepiride 3mg tablets,glimepiride,3,Glimepiride 4mg tablets|Glimepiride 2mg tablets|Glimepiride 1mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Co-codamol 30mg/500mg capsules,paracetamol,21,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets,3,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets,LOW,Europe,12,30,0,0,0
Buspirone 10mg tablets,buspirone,1,Buspirone 5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Celecoxib 200mg capsules,celecoxib,1,Celecoxib 100mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Perindopril erbumine 2mg tablets,perindopril,2,Perindopril erbumine 4mg tablets|Perindopril erbumine 8mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Celecoxib 100mg capsules,celecoxib,1,Celecoxib 200mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Sodium valproate 200mg gastro-resistant tablets,sodium,19,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets|Levothyroxine sodium 12.5microgram tablets|Sodium valproate 200mg/5ml oral solution sugar free|Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules,2,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Bendroflumethiazide 2.5mg tablets,bendroflumethiazide,1,Bendroflumethiazide 5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Brinzolamide 10mg/ml / Timolol 5mg/ml eye drops,brinzolamide,1,Brinzolamide 10mg/ml eye drops,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Quetiapine 300mg tablets,quetiapine,4,Quetiapine 100mg tablets|Quetiapine 150mg tablets|Quetiapine 200mg tablets|Quetiapine 25mg tablets,0,,MEDIUM,India,5,75,1,0,0
Dexamethasone 2mg tablets,dexamethasone,1,Dexamethasone 500microgram tablets,1,Dexamethasone 500microgram tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Phenoxymethylpenicillin 250mg/5ml oral solution,phenoxymethylpenicillin,4,Phenoxymethylpenicillin 250mg tablets|Phenoxymethylpenicillin 125mg/5ml oral solution|Phenoxymethylpenicillin 125mg/5ml oral solution sugar free|Phenoxymethylpenicillin 250mg/5ml oral solution sugar free,1,Phenoxymethylpenicillin 250mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Phenytoin sodium 100mg capsules,phenytoin,1,Phenytoin sodium 100mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Brinzolamide 10mg/ml eye drops,brinzolamide,2,Brinzolamide 10mg/ml / Timolol 5mg/ml eye drops|Brinzolamide 10mg/ml / Timolol 5mg/ml eye drops,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Sodium fluoride 0.619% dental paste sugar free,sodium,21,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets|Levothyroxine sodium 12.5microgram tablets|Sodium valproate 200mg/5ml oral solution sugar free|Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules,2,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Verapamil 40mg tablets,verapamil,2,Verapamil 120mg tablets|Verapamil 80mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Citalopram 10mg tablets,citalopram,6,Citalopram 20mg tablets|Escitalopram 5mg tablets|Citalopram 40mg tablets|Citalopram 40mg/ml oral drops sugar free|Escitalopram 10mg tablets,1,Citalopram 20mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Venlafaxine 75mg tablets,venlafaxine,5,Venlafaxine 225mg modified-release capsules|Venlafaxine 75mg modified-release capsules|Venlafaxine 37.5mg modified-release capsules|Venlafaxine 150mg modified-release tablets|Venlafaxine 37.5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Famotidine 40mg tablets,famotidine,1,Famotidine 20mg tablets,1,Famotidine 20mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Bendroflumethiazide 5mg tablets,bendroflumethiazide,1,Bendroflumethiazide 2.5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Perindopril erbumine 4mg tablets,perindopril,2,Perindopril erbumine 2mg tablets|Perindopril erbumine 8mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Sodium fluoride 1.1% dental paste sugar free,sodium,21,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets|Levothyroxine sodium 12.5microgram tablets|Sodium valproate 200mg/5ml oral solution sugar free|Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules,2,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Pramipexole 700microgram tablets,pramipexole,2,Pramipexole 88microgram tablets|Pramipexole 180microgram tablets,1,Pramipexole 88microgram tablets,HIGH,China,2,90,1,0,0
Furosemide 40mg tablets,furosemide,1,Furosemide 20mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Risperidone 1mg/ml oral solution sugar free,risperidone,5,Risperidone 500microgram tablets|Risperidone 2mg tablets|Risperidone 4mg tablets|Risperidone 1mg tablets|Risperidone 3mg tablets,1,Risperidone 500microgram tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Sodium valproate 500mg gastro-resistant tablets,sodium,19,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets|Levothyroxine sodium 12.5microgram tablets|Sodium valproate 200mg/5ml oral solution sugar free|Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules,2,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Sodium valproate 200mg gastro-resistant tablets,sodium,19,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets|Levothyroxine sodium 12.5microgram tablets|Sodium valproate 200mg/5ml oral solution sugar free|Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules,2,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Sodium valproate 500mg gastro-resistant tablets,sodium,19,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets|Levothyroxine sodium 12.5microgram tablets|Sodium valproate 200mg/5ml oral solution sugar free|Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules,2,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Sodium valproate 500mg gastro-resistant tablets,sodium,19,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets|Levothyroxine sodium 12.5microgram tablets|Sodium valproate 200mg/5ml oral solution sugar free|Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules,2,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Sodium valproate 200mg gastro-resistant tablets,sodium,19,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets|Levothyroxine sodium 12.5microgram tablets|Sodium valproate 200mg/5ml oral solution sugar free|Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules,2,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Aripiprazole 10mg tablets,aripiprazole,3,Aripiprazole 5mg tablets|Aripiprazole 15mg tablets|Aripiprazole 5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Aripiprazole 5mg tablets,aripiprazole,2,Aripiprazole 10mg tablets|Aripiprazole 15mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Amoxicillin 125mg/5ml oral suspension,amoxicillin,12,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free|Amoxicillin 250mg/5ml oral suspension|Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free|Co-amoxiclav 250mg/125mg tablets|Amoxicillin 500mg capsules,1,Amoxicillin 250mg/5ml oral suspension,HIGH,China,4,85,1,0,0
Sodium cromoglicate 2% eye drops,sodium,21,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets|Levothyroxine sodium 12.5microgram tablets|Sodium valproate 200mg/5ml oral solution sugar free|Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules,2,Sodium bicarbonate 500mg capsules|Diclofenac sodium 50mg gastro-resistant tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Alendronic acid 10mg tablets,alendronic acid,1,Alendronic acid 70mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Pyridoxine 50mg tablets,pyridoxine,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Etoricoxib 60mg tablets,etoricoxib,3,Etoricoxib 90mg tablets|Etoricoxib 30mg tablets|Etoricoxib 30mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Fluvastatin 40mg capsules,fluvastatin,1,Fluvastatin 20mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Codeine 15mg tablets,codeine phosphate,17,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Dihydrocodeine 30mg tablets,2,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets,HIGH,India,4,70,1,0,0
Etoricoxib 90mg tablets,etoricoxib,3,Etoricoxib 60mg tablets|Etoricoxib 30mg tablets|Etoricoxib 30mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Metformin 500mg/5ml oral solution sugar free,metformin,5,Metformin 500mg modified-release tablets|Metformin 850mg tablets|Metformin 1g modified-release tablets|Sitagliptin 50mg / Metformin 1g tablets|Metformin 500mg tablets,0,,MEDIUM,India,8,70,1,0,0
Glycerol 4g suppositories,glycerol,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Benzoyl peroxide 5% / Clindamycin 1% gel,benzoyl,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Quetiapine 25mg tablets,quetiapine,4,Quetiapine 100mg tablets|Quetiapine 150mg tablets|Quetiapine 200mg tablets|Quetiapine 300mg tablets,0,,MEDIUM,India,5,75,1,0,0
Thiamine 100mg tablets,thiamine,1,Thiamine 50mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Macrogol compound oral powder sachets NPF sugar free,macrogol,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Desmopressin 10micrograms/dose nasal spray,desmopressin,1,Desmopressin 200microgram tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Verapamil 80mg tablets,verapamil,2,Verapamil 120mg tablets|Verapamil 40mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Lacidipine 2mg tablets,lacidipine,1,Lacidipine 4mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Chlorhexidine gluconate 0.2% mouthwash,chlorhexidine,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Lorazepam 500microgram tablets,lorazepam,2,Lorazepam 1mg tablets|Lorazepam 2.5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Codeine 15mg tablets,codeine phosphate,17,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Dihydrocodeine 30mg tablets,2,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets,HIGH,India,4,70,1,0,0
Quinine sulfate 300mg tablets,quinine,2,Quinine sulfate 200mg tablets|Quinine bisulfate 300mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Irbesartan 75mg tablets,irbesartan,3,Irbesartan 150mg tablets|Irbesartan 300mg tablets|Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets,1,Irbesartan 150mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Morphine sulfate 10mg/5ml oral solution,morphine,2,Morphine sulfate 10mg/1ml solution for injection ampoules|Diamorphine 30mg powder for solution for injection ampoules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Fluvastatin 20mg capsules,fluvastatin,1,Fluvastatin 40mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Dapagliflozin 5mg tablets,dapagliflozin,1,Dapagliflozin 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Dapagliflozin 10mg tablets,dapagliflozin,1,Dapagliflozin 5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Riluzole 50mg tablets,riluzole,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Hydrocortisone 2.5% cream,hydrocortisone,6,Hydrocortisone 0.5% cream|Hydrocortisone 1% cream|Hydrocortisone 1% cream|Hydrocortisone 1% cream|Hydrocortisone 20mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Hydrocortisone 1% cream,hydrocortisone,4,Hydrocortisone 0.5% cream|Hydrocortisone 2.5% cream|Hydrocortisone 20mg tablets|Hydrocortisone 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Hydrocortisone 1% cream,hydrocortisone,4,Hydrocortisone 0.5% cream|Hydrocortisone 2.5% cream|Hydrocortisone 20mg tablets|Hydrocortisone 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Hydrocortisone 1% cream,hydrocortisone,4,Hydrocortisone 0.5% cream|Hydrocortisone 2.5% cream|Hydrocortisone 20mg tablets|Hydrocortisone 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Leflunomide 20mg tablets,leflunomide,1,Leflunomide 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Co-tenidone 50mg/12.5mg tablets,co-tenidone,1,Co-tenidone 100mg/25mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Fusidic acid 2% cream,fusidic,1,Fusidic acid 1% modified-release eye drops,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Glipizide 5mg tablets,glipizide,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Fusidic acid 2% cream,fusidic,1,Fusidic acid 1% modified-release eye drops,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Nitrofurantoin 50mg tablets,nitrofurantoin,2,Nitrofurantoin 100mg tablets|Nitrofurantoin 50mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Betamethasone valerate 0.1% cream,betamethasone,5,Betamethasone 500microgram soluble tablets sugar free|Calcipotriol 0.005% / Betamethasone dipropionate 0.05% ointment|Betamethasone valerate 0.1% ointment|Calcipotriol 0.005% / Betamethasone dipropionate 0.05% gel|Betamethasone valerate 0.1% ointment,1,Betamethasone 500microgram soluble tablets sugar free,UNKNOWN,Unknown,-1,-1,-1,0,0
Oxcarbazepine 300mg tablets,oxcarbazepine,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Betamethasone valerate 0.1% cream,betamethasone,5,Betamethasone 500microgram soluble tablets sugar free|Calcipotriol 0.005% / Betamethasone dipropionate 0.05% ointment|Betamethasone valerate 0.1% ointment|Calcipotriol 0.005% / Betamethasone dipropionate 0.05% gel|Betamethasone valerate 0.1% ointment,1,Betamethasone 500microgram soluble tablets sugar free,UNKNOWN,Unknown,-1,-1,-1,0,0
Thiamine 50mg tablets,thiamine,1,Thiamine 100mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Paracetamol 500mg capsules,paracetamol,20,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets,3,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets,LOW,Europe,12,30,0,0,0
Paracetamol 500mg capsules,paracetamol,20,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets,3,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets,LOW,Europe,12,30,0,0,0
Nitrofurantoin 100mg tablets,nitrofurantoin,2,Nitrofurantoin 50mg tablets|Nitrofurantoin 50mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Furosemide 20mg tablets,furosemide,1,Furosemide 40mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Cefalexin 500mg capsules,cefalexin,3,Cefalexin 500mg tablets|Cefalexin 250mg tablets|Cefalexin 250mg capsules,1,Cefalexin 500mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Codeine 30mg tablets,codeine phosphate,17,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Dihydrocodeine 30mg tablets,2,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets,HIGH,India,4,70,1,0,0
Codeine 30mg tablets,codeine phosphate,17,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Dihydrocodeine 30mg tablets,2,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets,HIGH,India,4,70,1,0,0
Prochlorperazine 5mg tablets,prochlorperazine,1,Prochlorperazine 3mg buccal tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Flucloxacillin 250mg/5ml oral solution sugar free,flucloxacillin,5,Flucloxacillin 125mg/5ml oral solution|Flucloxacillin 125mg/5ml oral solution sugar free|Flucloxacillin 250mg capsules|Flucloxacillin 250mg/5ml oral solution|Flucloxacillin 500mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Flucloxacillin 125mg/5ml oral solution sugar free,flucloxacillin,6,Flucloxacillin 250mg/5ml oral solution sugar free|Flucloxacillin 125mg/5ml oral solution|Flucloxacillin 250mg/5ml oral solution sugar free|Flucloxacillin 250mg capsules|Flucloxacillin 250mg/5ml oral solution,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Hydrocortisone 20mg tablets,hydrocortisone,6,Hydrocortisone 0.5% cream|Hydrocortisone 2.5% cream|Hydrocortisone 1% cream|Hydrocortisone 1% cream|Hydrocortisone 1% cream,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Clobazam 10mg tablets,clobazam,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Esomeprazole 40mg gastro-resistant capsules,esomeprazole,4,Esomeprazole 20mg gastro-resistant capsules|Esomeprazole 20mg gastro-resistant capsules|Esomeprazole 20mg gastro-resistant tablets|Esomeprazole 40mg gastro-resistant tablets,2,Esomeprazole 20mg gastro-resistant capsules|Esomeprazole 20mg gastro-resistant capsules,HIGH,India,4,75,1,0,0
Esomeprazole 20mg gastro-resistant capsules,esomeprazole,4,Esomeprazole 40mg gastro-resistant capsules|Esomeprazole 40mg gastro-resistant capsules|Esomeprazole 20mg gastro-resistant tablets|Esomeprazole 40mg gastro-resistant tablets,2,Esomeprazole 40mg gastro-resistant capsules|Esomeprazole 40mg gastro-resistant capsules,HIGH,India,4,75,1,0,0
Tadalafil 10mg tablets,tadalafil,2,Tadalafil 5mg tablets|Tadalafil 20mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Hydroxyzine 25mg tablets,hydroxyzine,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Clonazepam 500microgram tablets,clonazepam,1,Clonazepam 2mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Clonazepam 2mg tablets,clonazepam,1,Clonazepam 500microgram tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets,valsartan,3,Valsartan 80mg capsules|Valsartan 160mg capsules|Valsartan 40mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Digoxin 250microgram tablets,digoxin,2,Digoxin 125microgram tablets|Digoxin 62.5microgram tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Promethazine hydrochloride 10mg tablets,promethazine,1,Promethazine hydrochloride 25mg tablets,1,Promethazine hydrochloride 25mg tablets,UNKNOWN,Unknown,-1,-1,-1,0,0
Bisoprolol 1.25mg tablets,bisoprolol,5,Bisoprolol 5mg tablets|Bisoprolol 7.5mg tablets|Bisoprolol 10mg tablets|Bisoprolol 3.75mg tablets|Bisoprolol 2.5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Cyanocobalamin 50microgram tablets,cyanocobalamin,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Brinzolamide 10mg/ml / Timolol 5mg/ml eye drops,brinzolamide,1,Brinzolamide 10mg/ml eye drops,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Colesevelam 625mg tablets,colesevelam,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Flucloxacillin 250mg capsules,flucloxacillin,6,Flucloxacillin 250mg/5ml oral solution sugar free|Flucloxacillin 125mg/5ml oral solution|Flucloxacillin 250mg/5ml oral solution sugar free|Flucloxacillin 125mg/5ml oral solution sugar free|Flucloxacillin 250mg/5ml oral solution,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Etoricoxib 30mg tablets,etoricoxib,2,Etoricoxib 60mg tablets|Etoricoxib 90mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Primidone 250mg tablets,primidone,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Liothyronine 20microgram tablets,liothyronine,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Etoricoxib 30mg tablets,etoricoxib,2,Etoricoxib 60mg tablets|Etoricoxib 90mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Lorazepam 2.5mg tablets,lorazepam,2,Lorazepam 1mg tablets|Lorazepam 500microgram tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Venlafaxine 75mg modified-release capsules,venlafaxine,5,Venlafaxine 225mg modified-release capsules|Venlafaxine 75mg tablets|Venlafaxine 37.5mg modified-release capsules|Venlafaxine 150mg modified-release tablets|Venlafaxine 37.5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Paracetamol 500mg tablets,paracetamol,20,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets,3,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets,LOW,Europe,12,30,0,0,0
Paracetamol 500mg tablets,paracetamol,20,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets|Co-codamol 30mg/500mg effervescent tablets,3,Co-codamol 30mg/500mg tablets|Co-codamol 30mg/500mg tablets|Paracetamol 500mg effervescent tablets,LOW,Europe,12,30,0,0,0
Dosulepin 75mg tablets,dosulepin,1,Dosulepin 25mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Buspirone 5mg tablets,buspirone,1,Buspirone 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free,clavulanic acid,3,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free|Co-amoxiclav 250mg/125mg tablets|Co-amoxiclav 500mg/125mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Indometacin 25mg capsules,indometacin,1,Indometacin 50mg capsules,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Labetalol 100mg tablets,labetalol,1,Labetalol 200mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Betahistine 16mg tablets,betahistine,1,Betahistine 8mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Zolpidem 5mg tablets,zolpidem,1,Zolpidem 10mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Olopatadine 1mg/ml eye drops,olopatadine,0,,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Lamotrigine 25mg dispersible tablets sugar free,lamotrigine,6,Lamotrigine 200mg tablets|Lamotrigine 5mg dispersible tablets sugar free|Lamotrigine 100mg dispersible tablets sugar free|Lamotrigine 25mg tablets|Lamotrigine 50mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Moxonidine 400microgram tablets,moxonidine,2,Moxonidine 200microgram tablets|Moxonidine 300microgram tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
Venlafaxine 37.5mg modified-release capsules,venlafaxine,5,Venlafaxine 225mg modified-release capsules|Venlafaxine 75mg tablets|Venlafaxine 75mg modified-release capsules|Venlafaxine 150mg modified-release tablets|Venlafaxine 37.5mg tablets,0,,UNKNOWN,Unknown,-1,-1,-1,0,0
