month,drug,concession_price
2023-06,Methylphenidate 10mg tablets,3.08
2023-06,Methylphenidate 5mg tablets,3.45
2023-06,Metoprolol 50mg tablets,2.6
2023-06,Mometasone 0.1% cream,3.6
2023-06,Mometasone 0.1% ointment,4.36
2023-06,Mometasone 50micrograms/dose nasal spray,2.88
2023-06,Montelukast 10mg tablets,1.5
2023-06,Mycophenolate mofetil 500mg tablets,7.69
2023-06,Naftidrofuryl 100mg capsules,10.79
2023-06,Nebivolol 2.5mg tablets,13.03
2023-06,Nitrofurantoin 100mg tablets,12.24
2023-06,Nitrofurantoin 50mg tablets,12.25
2023-06,Omeprazole 10mg gastro-resistant capsules,1.78
2023-06,Omeprazole 20mg gastro-resistant capsules,2.04
2023-06,Ondansetron 4mg tablets,7.1
2023-06,Oxycodone 5mg/5ml oral solution sugar free,12.0
2023-06,Pantoprazole 20mg gastro-resistant tablets,6.62
2023-06,Pantoprazole 40mg gastro-resistant tablets,9.23
2023-06,Paracetamol 500mg effervescent tablets,10.34
2023-06,Perindopril erbumine 2mg tablets,1.27
2023-06,Perindopril erbumine 4mg tablets,1.75
2023-06,Perindopril erbumine 8mg tablets,2.4
2023-06,Phenoxymethylpenicillin 125mg/5ml oral solution,9.3
2023-06,Phenoxymethylpenicillin 250mg/5ml oral solution,10.2
2023-06,Pizotifen 1.5mg tablets,2.09
2023-06,Pramipexole 180microgram tablets,8.22
2023-06,Pregabalin 150mg capsules,2.68
2023-06,Pregabalin 300mg capsules,4.02
2023-06,Pregabalin 75mg capsules,2.17
2023-06,Prochlorperazine 3mg buccal tablets,8.43
2023-06,Prochlorperazine 5mg tablets,2.01
2023-06,Promethazine hydrochloride 25mg tablets,29.32
2023-06,Quetiapine 25mg tablets,1.54
2023-06,Quetiapine 300mg tablets,4.08
2023-06,Quinine sulfate 200mg tablets,7.97
2023-06,Risperidone 500microgram tablets,2.98
2023-06,Ropinirole 250microgram tablets,6.7
2023-06,Rosuvastatin 20mg tablets,4.98
2023-06,Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules,11.04
2023-06,Sodium cromoglicate 2% eye drops,2.59
2023-06,Spironolactone 100mg tablets,5.1
2023-06,Spironolactone 25mg tablets,1.97
2023-06,Spironolactone 50mg tablets,3.81
2023-06,Tacrolimus 0.1% ointment,41.69
2023-06,Tacrolimus 0.1% ointment,22.36
2023-06,Tamsulosin 400microgram / Dutasteride 500microgram capsules,14.53
2023-06,Tamsulosin 400microgram modified-release capsules,1.75
2023-06,Telmisartan 80mg tablets,2.86
2023-06,Terbinafine 1% cream,3.78
2023-06,Terbinafine 1% cream,3.27
2023-06,Tolterodine 1mg tablets,2.73
2023-06,Tolterodine 2mg tablets,3.55
2023-06,Topiramate 100mg tablets,16.53
2023-06,Topiramate 25mg tablets,8.99
2023-06,Topiramate 50mg tablets,17.79
2023-06,Tramadol 37.5mg / Paracetamol 325mg tablets,7.38
2023-06,Trazodone 50mg capsules,3.45
2023-06,Trospium chloride 20mg tablets,12.06
2023-06,Valaciclovir 500mg tablets,20.59
2023-06,Valsartan 40mg capsules,6.75
2023-06,Valsartan 80mg capsules,7.94
2023-06,Venlafaxine 150mg modified-release capsules,4.98
2023-06,Venlafaxine 150mg modified-release tablets,4.85
2023-06,Venlafaxine 75mg modified-release tablets,2.95
2023-06,Venlafaxine 75mg tablets,11.51
2023-06,Zolmitriptan 2.5mg orodispersible tablets sugar free,20.69
2023-06,Zolmitriptan 2.5mg tablets,18.85
2023-06,Zolmitriptan 2.5mg tablets,37.7
2023-06,Zopiclone 3.75mg tablets,1.95
2023-06,Zopiclone 7.5mg tablets,1.75
2023-05,Aciclovir 800mg tablets,4.6
2023-05,Amiloride 5mg tablets,13.15
2023-05,Amisulpride 100mg tablets,19.6
2023-05,Amisulpride 50mg tablets,12.34
2023-05,Amoxicillin 125mg/5ml oral suspension,2.98
2023-05,Amoxicillin 125mg/5ml oral suspension sugar free,3.42
2023-05,Amoxicillin 250mg/5ml oral suspension,3.52
2023-05,Amoxicillin 250mg/5ml oral suspension sugar free,3.5
2023-05,Atorvastatin 10mg tablets,0.79
2023-05,Atorvastatin 20mg tablets,1.56
2023-05,Atorvastatin 40mg tablets,1.3
2023-05,Atorvastatin 80mg tablets,1.4
2023-05,Benzoyl peroxide 5% / Clindamycin 1% gel,11.45
2023-05,Benzoyl peroxide 5% / Clindamycin 1% gel,22.9
2023-05,Bicalutamide 150mg tablets,4.0
2023-05,Bimatoprost 100micrograms/ml eye drops,3.99
2023-05,Bisacodyl 5mg gastro-resistant tablets,4.45
2023-05,Bisoprolol 2.5mg tablets,0.99
2023-05,Brimonidine 0.2% eye drops,4.2
2023-05,Brinzolamide 10mg/ml / Timolol 5mg/ml eye drops,8.19
2023-05,Brinzolamide 10mg/ml eye drops,4.46
2023-05,Buprenorphine 8mg sublingual tablets sugar free,4.4
2023-05,Calcipotriol 0.005% / Betamethasone dipropionate 0.05% ointment,12.13
2023-05,Chloramphenicol 0.5% eye drops,9.68
2023-05,Chloramphenicol 1% eye ointment,5.2
2023-05,Chlorphenamine 2mg/5ml oral solution sugar free,3.04
2023-05,Chlorpromazine 100mg tablets,24.95
2023-05,Chlorpromazine 25mg tablets,24.99
2023-05,Chlorpromazine 50mg tablets,25.45
2023-05,Cinacalcet 30mg tablets,10.09
2023-05,Cinnarizine 15mg tablets,5.53
2023-05,Clarithromycin 125mg/5ml oral suspension,4.2
2023-05,Clarithromycin 250mg tablets,4.2
2023-05,Clarithromycin 250mg/5ml oral suspension,5.38
2023-05,Clarithromycin 500mg tablets,9.95
2023-05,Clonidine 25microgram tablets,19.11
2023-05,Clotrimazole 1% cream,1.89
2023-05,Clotrimazole 1% cream,3.71
2023-05,Clotrimazole 500mg pessary and Clotrimazole 2% cream,10.35
2023-05,Co-amilofruse 2.5mg/20mg tablets,4.6
2023-05,Co-amoxiclav 500mg/125mg tablets,5.25
2023-05,Co-careldopa 25mg/100mg tablets,7.49
2023-05,Co-codamol 8mg/500mg effervescent tablets,3.31
2023-05,Co-codamol 8mg/500mg effervescent tablets,10.34
2023-05,"Colecalciferol 1,000unit capsules",7.95
2023-05,Co-trimoxazole 80mg/400mg tablets,2.36
2023-05,Cyclizine 50mg/1ml solution for injection ampoules,9.74
2023-05,Desloratadine 5mg tablets,3.82
2023-05,Desogestrel 75microgram tablets,3.45
2023-05,Digoxin 125microgram tablets,3.99
2023-05,Digoxin 250microgram tablets,3.8
2023-05,Digoxin 62.5microgram tablets,4.64
2023-05,Doxazosin 4mg modified-release tablets,5.75
2023-05,Doxycycline 100mg capsules,0.99
2023-05,Enalapril 2.5mg tablets,7.74
2023-05,Febuxostat 80mg tablets,3.95
2023-05,Finasteride 5mg tablets,3.82
2023-05,Flecainide 100mg tablets,4.22
2023-05,Flucloxacillin 125mg/5ml oral solution,2.87
2023-05,Flucloxacillin 250mg capsules,1.91
2023-05,Flucloxacillin 250mg/5ml oral solution,3.91
2023-05,Flucloxacillin 250mg/5ml oral solution sugar free,3.59
2023-05,Fluoxetine 20mg/5ml oral solution,12.05
2023-05,Frovatriptan 2.5mg tablets,13.07
2023-05,Gabapentin 600mg tablets,22.5
2023-05,Hydroxocobalamin 1mg/1ml solution for injection ampoules,12.0
2023-05,Hydroxychloroquine 200mg tablets,5.45
2023-05,Isotretinoin 20mg capsules,12.35
2023-05,Itraconazole 100mg capsules,9.76
2023-05,Ivabradine 2.5mg tablets,49.0
2023-05,Ivabradine 5mg tablets,29.98
2023-05,Lansoprazole 15mg orodispersible tablets,3.09
2023-05,Lansoprazole 30mg orodispersible tablets,5.52
2023-05,Latanoprost 50micrograms/ml eye drops,2.08
2023-05,Leflunomide 20mg tablets,3.43
2023-05,Letrozole 2.5mg tablets,1.03
2023-05,Levetiracetam 100mg/ml oral solution sugar free,10.55
2023-05,Lofepramine 70mg tablets,13.46
2023-05,Losartan 100mg / Hydrochlorothiazide 25mg tablets,6.13
2023-05,Mebeverine 135mg tablets,7.09
2023-05,Methylphenidate 10mg tablets,3.08
2023-05,Miconazole 2% cream,2.51
2023-05,Mometasone 0.1% cream,4.25
2023-05,Mometasone 0.1% ointment,4.59
2023-05,Mometasone 50micrograms/dose nasal spray,2.99
2023-05,Moxonidine 200microgram tablets,5.79
2023-05,Mycophenolate mofetil 500mg tablets,8.42
2023-05,Naftidrofuryl 100mg capsules,11.82
2023-05,Nebivolol 2.5mg tablets,14.19
2023-05,Nebivolol 5mg tablets,1.67
2023-05,Nitrofurantoin 100mg tablets,14.15
2023-05,Nitrofurantoin 50mg tablets,12.52
2023-05,Omeprazole 10mg gastro-resistant capsules,1.95
2023-05,Omeprazole 20mg gastro-resistant capsules,2.25
2023-05,Ondansetron 4mg tablets,6.01
2023-05,Oxycodone 5mg/5ml oral solution sugar free,12.0
2023-05,Paracetamol 250mg/5ml oral suspension sugar free,8.46
2023-05,Paracetamol 500mg effervescent tablets,10.77
2023-05,Perindopril erbumine 2mg tablets,1.69
2023-05,Perindopril erbumine 4mg tablets,2.53
2023-05,Perindopril erbumine 8mg tablets,3.4
2023-05,Permethrin 5% cream,11.51
2023-05,Phenoxymethylpenicillin 125mg/5ml oral solution,9.25
2023-05,Phenoxymethylpenicillin 250mg tablets,3.1
2023-05,Phenoxymethylpenicillin 250mg/5ml oral solution,9.95
2023-05,Pramipexole 180microgram tablets,11.0
2023-05,Pramipexole 88microgram tablets,2.59
2023-05,Pregabalin 150mg capsules,2.85
2023-05,Pregabalin 300mg capsules,3.88
2023-05,Pregabalin 75mg capsules,2.13
2023-05,Prochlorperazine 3mg buccal tablets,7.16
2023-05,Prochlorperazine 5mg tablets,1.91
2023-05,Promethazine hydrochloride 25mg tablets,30.9
2023-05,Quetiapine 25mg tablets,1.47
2023-05,Quetiapine 300mg tablets,4.08
2023-05,Quinine sulfate 200mg tablets,5.44
2023-05,Risperidone 500microgram tablets,3.26
2023-05,Ropinirole 250microgram tablets,5.82
2023-05,Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules,9.12
2023-05,Sodium cromoglicate 2% eye drops,3.1
2023-05,Spironolactone 100mg tablets,5.4
2023-05,Spironolactone 25mg tablets,2.11
2023-05,Spironolactone 50mg tablets,3.99
2023-05,Tacrolimus 0.1% ointment,25.92
2023-05,Tacrolimus 0.1% ointment,39.45
2023-05,Tamsulosin 400microgram / Dutasteride 500microgram capsules,17.37
2023-05,Tamsulosin 400microgram modified-release capsules,1.5
2023-05,Telmisartan 80mg tablets,3.02
2023-05,Terbinafine 1% cream,3.78
2023-05,Terbinafine 1% cream,3.65
2023-05,Tizanidine 2mg tablets,8.91
2023-05,Tolterodine 1mg tablets,2.84
2023-05,Tolterodine 2mg tablets,3.58
2023-05,Topiramate 100mg tablets,17.9
2023-05,Topiramate 25mg tablets,8.75
2023-05,Topiramate 50mg tablets,18.25
2023-05,Travoprost 40micrograms/ml eye drops,2.47
2023-05,Trazodone 100mg capsules,4.05
2023-05,Trazodone 50mg capsules,4.32
2023-05,Trihexyphenidyl 2mg tablets,4.45
2023-05,Trimethoprim 50mg/5ml oral suspension sugar free,8.2
2023-05,Trospium chloride 20mg tablets,12.06
2023-05,Valaciclovir 500mg tablets,20.59
2023-05,Valsartan 160mg capsules,10.88
2023-05,Valsartan 40mg capsules,6.75
2023-05,Valsartan 80mg capsules,8.01
2023-05,Venlafaxine 150mg modified-release capsules,4.98
2023-05,Venlafaxine 150mg modified-release tablets,4.85
2023-05,Venlafaxine 75mg modified-release capsules,4.5
2023-05,Venlafaxine 75mg modified-release tablets,2.95
2023-05,Zolmitriptan 2.5mg orodispersible tablets sugar free,19.39
2023-05,Zolmitriptan 2.5mg tablets,13.95
2023-05,Zolmitriptan 2.5mg tablets,27.9
2023-05,Zonisamide 100mg capsules,30.22
2023-05,Zopiclone 3.75mg tablets,1.99
2023-05,Zopiclone 7.5mg tablets,1.69
2023-04,Amisulpride 100mg tablets,20.29
2023-04,Amisulpride 50mg tablets,13.09
2023-04,Amoxicillin 125mg/5ml oral suspension,3.46
2023-04,Amoxicillin 125mg/5ml oral suspension sugar free,3.29
2023-04,Amoxicillin 250mg/5ml oral suspension,4.01
2023-04,Amoxicillin 250mg/5ml oral suspension sugar free,3.5
2023-04,Amoxicillin 500mg capsules,2.13
2023-04,Amoxicillin 500mg capsules,2.98
2023-04,Baclofen 5mg/5ml oral solution sugar free,5.99
2023-04,Benzoyl peroxide 5% / Clindamycin 1% gel,10.9
2023-04,Benzoyl peroxide 5% / Clindamycin 1% gel,21.8
2023-04,Bicalutamide 150mg tablets,3.99
2023-04,Bimatoprost 100micrograms/ml eye drops,3.99
2023-04,Bisacodyl 5mg gastro-resistant tablets,4.99
2023-04,Bisoprolol 2.5mg tablets,1.02
2023-04,Brimonidine 0.2% eye drops,3.84
2023-04,Brinzolamide 10mg/ml eye drops,4.39
2023-04,Buprenorphine 8mg sublingual tablets sugar free,4.41
2023-04,Calcipotriol 0.005% / Betamethasone dipropionate 0.05% ointment,9.23
2023-04,Carbocisteine 375mg capsules,7.24
2023-04,Chloramphenicol 1% eye ointment,5.2
2023-04,Chlorphenamine 2mg/5ml oral solution,3.34
2023-04,Chlorphenamine 2mg/5ml oral solution sugar free,3.5
2023-04,Chlorpromazine 100mg tablets,27.6
2023-04,Chlorpromazine 25mg tablets,26.5
2023-04,Chlorpromazine 50mg tablets,26.3
2023-04,Cinacalcet 30mg tablets,11.95
2023-04,Cinnarizine 15mg tablets,5.98
2023-04,Clarithromycin 125mg/5ml oral suspension,4.32
2023-04,Clarithromycin 250mg tablets,5.0
2023-04,Clarithromycin 250mg/5ml oral suspension,5.5
2023-04,Clarithromycin 500mg tablets,10.99
2023-04,Clonidine 25microgram tablets,20.62
2023-04,Clotrimazole 1% cream,2.22
2023-04,Clotrimazole 1% cream,4.2
2023-04,Co-amilofruse 2.5mg/20mg tablets,4.6
2023-04,Co-amoxiclav 500mg/125mg tablets,5.79
2023-04,Co-careldopa 25mg/100mg tablets,7.8
2023-04,Co-codamol 30mg/500mg effervescent tablets,3.36
2023-04,Co-codamol 30mg/500mg effervescent tablets,10.5
2023-04,Co-codamol 8mg/500mg effervescent tablets,3.31
2023-04,Co-codamol 8mg/500mg effervescent tablets,10.34
2023-04,"Colecalciferol 1,000unit capsules",7.95
2023-04,Co-trimoxazole 80mg/400mg tablets,3.88
2023-04,Cyclizine 50mg/1ml solution for injection ampoules,10.95
2023-04,Desloratadine 5mg tablets,4.3
2023-04,Digoxin 125microgram tablets,4.6
2023-04,Digoxin 250microgram tablets,3.99
2023-04,Digoxin 62.5microgram tablets,4.44
2023-04,Docusate 50mg/5ml oral solution sugar free,19.49
2023-04,Doxazosin 4mg modified-release tablets,13.13
2023-04,Doxycycline 100mg capsules,1.05
2023-04,Febuxostat 80mg tablets,5.79
2023-04,Finasteride 5mg tablets,3.84
2023-04,Flecainide 100mg tablets,4.22
2023-04,Flucloxacillin 125mg/5ml oral solution,3.14
2023-04,Flucloxacillin 250mg capsules,2.8
2023-04,Flucloxacillin 250mg/5ml oral solution,3.91
2023-04,Flucloxacillin 250mg/5ml oral solution sugar free,3.6
2023-04,Flucloxacillin 500mg capsules,2.97
2023-04,Fluoxetine 20mg/5ml oral solution,14.63
2023-04,Frovatriptan 2.5mg tablets,13.95
2023-04,Gabapentin 600mg tablets,25.5
2023-04,Hydroxocobalamin 1mg/1ml solution for injection ampoules,12.99
2023-04,Hydroxychloroquine 200mg tablets,4.28
2023-04,Isotretinoin 20mg capsules,12.5
2023-04,Ivabradine 2.5mg tablets,43.96
2023-04,Ivabradine 5mg tablets,37.47
2023-04,Lansoprazole 15mg orodispersible tablets,3.06
2023-04,Latanoprost 50micrograms/ml eye drops,2.08
2023-04,Leflunomide 20mg tablets,3.5
2023-04,Levetiracetam 100mg/ml oral solution sugar free,10.55
2023-04,Lofepramine 70mg tablets,13.49
2023-04,Losartan 100mg / Hydrochlorothiazide 25mg tablets,6.16
2023-04,Mebeverine 135mg tablets,7.85
2023-04,Methylphenidate 10mg tablets,3.08
2023-04,Metoprolol 50mg tablets,1.95
2023-04,Miconazole 2% cream,2.51
2023-04,Mometasone 0.1% cream,4.6
2023-04,Mometasone 0.1% ointment,4.37
2023-04,Mometasone 50micrograms/dose nasal spray,3.39
2023-04,Moxonidine 200microgram tablets,5.8
2023-04,Mycophenolate mofetil 500mg tablets,8.53
2023-04,Nadolol 80mg tablets,14.45
2023-04,Naftidrofuryl 100mg capsules,11.54
2023-04,Nebivolol 2.5mg tablets,14.15
2023-04,Nebivolol 5mg tablets,1.71
2023-04,Nitrofurantoin 100mg tablets,13.52
2023-04,Nitrofurantoin 50mg tablets,13.25
2023-04,Omeprazole 10mg gastro-resistant capsules,1.62
2023-04,Omeprazole 20mg gastro-resistant capsules,2.45
2023-04,Ondansetron 4mg tablets,5.55
2023-04,Oxycodone 5mg/5ml oral solution sugar free,11.8
2023-04,Paracetamol 250mg/5ml oral suspension sugar free,8.17
2023-04,Perindopril erbumine 2mg tablets,1.93
2023-04,Perindopril erbumine 4mg tablets,2.79
2023-04,Perindopril erbumine 8mg tablets,3.49
2023-04,Phenoxymethylpenicillin 125mg/5ml oral solution,9.49
2023-04,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,9.49
2023-04,Phenoxymethylpenicillin 250mg tablets,2.95
2023-04,Phenoxymethylpenicillin 250mg/5ml oral solution,10.75
2023-04,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free,10.75
2023-04,Pramipexole 180microgram tablets,7.75
2023-04,Prednisolone 20mg/application foam enema,225.44
2023-04,Pregabalin 150mg capsules,2.95
2023-04,Pregabalin 300mg capsules,4.38
2023-04,Pregabalin 75mg capsules,2.3
2023-04,Promethazine hydrochloride 25mg tablets,30.8
2023-04,Quetiapine 25mg tablets,1.65
2023-04,Quetiapine 300mg tablets,4.08
2023-04,Quinine sulfate 200mg tablets,5.53
2023-04,Risperidone 500microgram tablets,3.79
2023-04,Ropinirole 250microgram tablets,4.95
2023-04,Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules,9.12
2023-04,Sodium cromoglicate 2% eye drops,2.69
2023-04,Spironolactone 100mg tablets,5.98
2023-04,Spironolactone 25mg tablets,2.52
2023-04,Spironolactone 50mg tablets,3.93
2023-04,Tacrolimus 0.1% ointment,21.89
2023-04,Tamsulosin 400microgram / Dutasteride 500microgram capsules,17.79
2023-04,Tamsulosin 400microgram modified-release capsules,1.75
2023-04,Telmisartan 80mg tablets,3.26
2023-04,Terbinafine 1% cream,3.65
2023-04,Tolterodine 1mg tablets,3.22
2023-04,Tolterodine 2mg tablets,4.89
2023-04,Topiramate 100mg tablets,18.88
2023-04,Topiramate 25mg tablets,10.13
2023-04,Topiramate 50mg tablets,18.3
2023-04,Trazodone 100mg capsules,4.26
2023-04,Trazodone 50mg capsules,5.76
2023-04,Trimethoprim 50mg/5ml oral suspension sugar free,7.53
2023-04,Trospium chloride 20mg tablets,12.09
2023-04,Valaciclovir 500mg tablets,20.59
2023-04,Valsartan 160mg capsules,10.88
2023-04,Valsartan 40mg capsules,7.51
2023-04,Valsartan 80mg capsules,8.75
2023-04,Venlafaxine 150mg modified-release capsules,4.99
2023-04,Venlafaxine 75mg modified-release capsules,3.2
2023-04,Venlafaxine 75mg modified-release tablets,3.29
2023-04,Venlafaxine 75mg tablets,12.51
2023-04,Zolmitriptan 2.5mg orodispersible tablets sugar free,19.39
2023-04,Zolmitriptan 2.5mg tablets,28.2
2023-04,Zolmitriptan 2.5mg tablets,14.1
2023-04,Zopiclone 3.75mg tablets,1.99
2023-04,Zopiclone 7.5mg tablets,2.13
2023-03,Amisulpride 100mg tablets,20.29
2023-03,Amisulpride 200mg tablets,33.92
2023-03,Amisulpride 50mg tablets,13.09
2023-03,Amoxicillin 125mg/5ml oral suspension,4.32
2023-03,Amoxicillin 125mg/5ml oral suspension sugar free,3.8
2023-03,Amoxicillin 250mg/5ml oral suspension,4.34
2023-03,Amoxicillin 250mg/5ml oral suspension sugar free,3.5
2023-03,Amoxicillin 500mg capsules,2.51
2023-03,Amoxicillin 500mg capsules,3.51
2023-03,Aripiprazole 15mg tablets,12.36
2023-03,Aripiprazole 5mg tablets,14.98
2023-03,Atenolol 25mg tablets,1.31
2023-03,Baclofen 5mg/5ml oral solution sugar free,5.99
2023-03,Bicalutamide 150mg tablets,3.96
2023-03,Bimatoprost 100micrograms/ml eye drops,4.04
2023-03,Bisacodyl 5mg gastro-resistant tablets,4.83
2023-03,Bisoprolol 2.5mg tablets,1.18
2023-03,Brimonidine 0.2% eye drops,4.42
2023-03,Brinzolamide 10mg/ml eye drops,5.06
2023-03,Calcipotriol 0.005% / Betamethasone dipropionate 0.05% ointment,10.29
2023-03,Carbocisteine 250mg/5ml oral solution,7.08
2023-03,Carbocisteine 375mg capsules,8.24
2023-03,Carvedilol 6.25mg tablets,1.45
2023-03,Cefalexin 250mg tablets,2.86
2023-03,Cefalexin 500mg capsules,2.8
2023-03,Cefalexin 500mg tablets,2.8
2023-03,Chloramphenicol 1% eye ointment,5.2
2023-03,Chlorphenamine 2mg/5ml oral solution,3.72
2023-03,Chlorpromazine 100mg tablets,26.54
2023-03,Chlorpromazine 25mg tablets,25.43
2023-03,Chlorpromazine 50mg tablets,26.79
2023-03,Cinacalcet 30mg tablets,11.95
2023-03,Cinnarizine 15mg tablets,5.7
2023-03,Citalopram 40mg/ml oral drops sugar free,9.38
2023-03,Clarithromycin 125mg/5ml oral suspension,4.99
2023-03,Clarithromycin 250mg tablets,4.8
2023-03,Clarithromycin 250mg/5ml oral suspension,5.54
2023-03,Clarithromycin 500mg tablets,10.2
2023-03,Clonidine 25microgram tablets,20.78
2023-03,Clotrimazole 1% cream,2.29
2023-03,Clotrimazole 1% cream,3.47
2023-03,Clotrimazole 500mg pessaries,10.35
2023-03,Co-amoxiclav 250mg/125mg tablets,2.94
2023-03,Co-amoxiclav 500mg/125mg tablets,6.95
2023-03,Co-careldopa 12.5mg/50mg tablets,4.0
2023-03,Co-careldopa 25mg/100mg tablets,7.6
2023-03,Co-codamol 30mg/500mg effervescent tablets,3.37
2023-03,Co-codamol 30mg/500mg effervescent tablets,10.52
2023-03,"Colecalciferol 1,000unit capsules",7.95
2023-03,Co-trimoxazole 80mg/400mg tablets,2.73
2023-03,Cyclizine 50mg/1ml solution for injection ampoules,12.95
2023-03,Desogestrel 75microgram tablets,3.39
2023-03,Digoxin 125microgram tablets,3.78
2023-03,Digoxin 250microgram tablets,3.02
2023-03,Digoxin 62.5microgram tablets,3.81
2023-03,Donepezil 10mg tablets,1.35
2023-03,Donepezil 5mg tablets,1.35
2023-03,Dosulepin 25mg capsules,5.08
2023-03,Duloxetine 30mg gastro-resistant capsules,2.69
2023-03,Duloxetine 60mg gastro-resistant capsules,3.84
2023-03,Enalapril 2.5mg tablets,7.19
2023-03,Erythromycin 250mg gastro-resistant tablets,3.24
2023-03,Ezetimibe 10mg tablets,1.63
2023-03,Febuxostat 80mg tablets,6.19
2023-03,Finasteride 5mg tablets,4.01
2023-03,Flucloxacillin 125mg/5ml oral solution,2.98
2023-03,Flucloxacillin 250mg capsules,2.8
2023-03,Flucloxacillin 250mg/5ml oral solution,3.98
2023-03,Flucloxacillin 250mg/5ml oral solution sugar free,4.93
2023-03,Flucloxacillin 500mg capsules,3.59
2023-03,Fluoxetine 20mg/5ml oral solution,15.5
2023-03,Frovatriptan 2.5mg tablets,15.05
2023-03,Fusidic acid 1% modified-release eye drops,31.41
2023-03,Gabapentin 600mg tablets,32.0
2023-03,Hydroxocobalamin 1mg/1ml solution for injection ampoules,13.19
2023-03,Hydroxychloroquine 200mg tablets,3.27
2023-03,Isotretinoin 20mg capsules,12.5
2023-03,Ivabradine 2.5mg tablets,42.83
2023-03,Ivabradine 5mg tablets,31.14
2023-03,Ketoconazole 2% shampoo,14.95
2023-03,Lamotrigine 100mg tablets,2.5
2023-03,Lamotrigine 50mg tablets,2.76
2023-03,Latanoprost 50micrograms/ml eye drops,2.64
2023-03,Leflunomide 20mg tablets,3.5
2023-03,Levetiracetam 100mg/ml oral solution sugar free,11.49
2023-03,Levetiracetam 1g tablets,6.28
2023-03,Levetiracetam 500mg tablets,3.67
2023-03,Lofepramine 70mg tablets,13.53
2023-03,Mebeverine 135mg tablets,7.55
2023-03,Methocarbamol 750mg tablets,10.66
2023-03,Metoprolol 50mg tablets,2.3
2023-03,Miconazole 2% cream,2.51
2023-03,Mometasone 0.1% cream,3.77
2023-03,Mometasone 0.1% ointment,4.51
2023-03,Mometasone 50micrograms/dose nasal spray,3.29
2023-03,Mycophenolate mofetil 500mg tablets,8.42
2023-03,Nadolol 80mg tablets,14.45
2023-03,Naftidrofuryl 100mg capsules,10.89
2023-03,Naproxen 250mg gastro-resistant tablets,2.5
2023-03,Naproxen 500mg gastro-resistant tablets,4.9
2023-03,Naproxen 500mg tablets,1.77
2023-03,Nebivolol 2.5mg tablets,16.18
2023-03,Nebivolol 5mg tablets,1.73
2023-03,Nitrofurantoin 100mg tablets,10.32
2023-03,Nitrofurantoin 50mg tablets,12.95
2023-03,Norethisterone 5mg tablets,6.74
2023-03,Omeprazole 10mg gastro-resistant capsules,2.53
2023-03,Omeprazole 20mg gastro-resistant capsules,2.5
2023-03,Ondansetron 4mg tablets,6.23
2023-03,Oxycodone 5mg/5ml oral solution sugar free,9.5
2023-03,Paracetamol 250mg/5ml oral suspension sugar free,9.21
2023-03,Paracetamol 500mg soluble tablets,3.49
2023-03,Paracetamol 500mg soluble tablets,14.54
2023-03,Paroxetine 20mg tablets,1.58
2023-03,Perindopril erbumine 2mg tablets,1.96
2023-03,Perindopril erbumine 4mg tablets,2.9
2023-03,Perindopril erbumine 8mg tablets,5.16
2023-03,Phenoxymethylpenicillin 125mg/5ml oral solution,9.99
2023-03,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free,9.99
2023-03,Phenoxymethylpenicillin 250mg tablets,3.2
2023-03,Phenoxymethylpenicillin 250mg/5ml oral solution,10.5
2023-03,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free,10.5
2023-03,Pramipexole 180microgram tablets,11.64
2023-03,Prednisolone 20mg/application foam enema,225.45
2023-03,Prednisolone 5mg soluble tablets,57.5
2023-03,Pregabalin 100mg capsules,3.08
2023-03,Pregabalin 150mg capsules,2.68
2023-03,Pregabalin 25mg capsules,1.93
2023-03,Pregabalin 300mg capsules,3.5
2023-03,Pregabalin 50mg capsules,2.64
2023-03,Pregabalin 75mg capsules,2.33
2023-03,Promethazine hydrochloride 25mg tablets,32.59
2023-03,Quetiapine 25mg tablets,1.61
2023-03,Quetiapine 300mg tablets,4.08
2023-03,Quinine sulfate 200mg tablets,4.5
2023-03,Rabeprazole 10mg gastro-resistant tablets,5.76
2023-03,Rasagiline 1mg tablets,3.99
2023-03,Risedronate sodium 35mg tablets,2.84
2023-03,Risperidone 500microgram tablets,3.26
2023-03,Ropinirole 250microgram tablets,5.64
2023-03,Ropinirole 2mg tablets,20.52
2023-03,Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials,12.5
2023-03,Salbutamol 5mg/2.5ml nebuliser liquid unit dose vials,13.08
2023-03,Spironolactone 100mg tablets,4.67
2023-03,Spironolactone 25mg tablets,2.14
2023-03,Spironolactone 50mg tablets,2.33
2023-03,Tacrolimus 0.1% ointment,21.53
2023-03,Tamsulosin 400microgram / Dutasteride 500microgram capsules,17.37
2023-03,Telmisartan 20mg tablets,5.02
2023-03,Telmisartan 40mg tablets,3.4
2023-03,Telmisartan 80mg tablets,3.48
2023-03,Temazepam 10mg tablets,24.44
2023-03,Temazepam 20mg tablets,25.0
2023-03,Terbinafine 1% cream,3.02
2023-03,Terbinafine 1% cream,3.5
